"ID","Name","Department","Salary"
"1","Deepanshu","Development","650000"
"2","Purvansh","HR","87659"
"3","Raj","HR","87868"
"4","Yogesh","HR","778797"
"5","Shubham","Development","720000"
"6","Karan","Marketing","540000"
"7","Survesh","Sales","580000"
"8","Gagan","Development","600000"
"9","Aman","Finance","450000"
"10","Nikhil","Operations","500000"
"11","Ankit","Development","750000"
"12","Saurabh","HR","87000"
"13","Mohit","Marketing","530000"
"14","Vikas","Sales","620000"
"15","Prateek","Finance","490000"
"16","Harsh","Development","690000"
"17","Ravi","HR","83000"
"18","Sumit","Operations","510000"
"19","Neeraj","Development","710000"
"20","Akash","Marketing","550000"
"21","Rohit","Sales","600000"
"22","Abhishek","Finance","470000"
"23","Shivam","HR","88000"
"24","Ujjwal","Development","740000"
"25","Aditya","Operations","520000"
"26","Naveen","Sales","590000"
"27","Sandeep","Marketing","560000"
"28","Tarun","Development","680000"
"29","Vivek","Finance","460000"
"30","Manish","HR","87000"
"31","Sushant","Operations","530000"
"32","Anirudh","Development","730000"
"33","Bhavesh","Marketing","570000"
"34","Chetan","Sales","610000"
"35","Deepak","Finance","480000"
"36","Eshan","HR","89000"
"37","Farhan","Development","760000"
"38","Gaurav","Operations","540000"
"39","Himanshu","Marketing","580000"
"40","Ishaan","Sales","630000"
"41","Jatin","Finance","500000"
"42","Kunal","HR","85000"
"43","Lakshay","Development","700000"
"44","Mayank","Operations","550000"
"45","Naman","Marketing","590000"
"46","Omkar","Sales","640000"
"47","Pranay","Finance","510000"
"48","Qasim","HR","90000"
"49","Rajat","Development","770000"
"50","Saksham","Operations","560000"
"51","Tanmay","Marketing","600000"
"52","Umesh","Sales","650000"
"53","Vaibhav","Finance","520000"
"54","Yash","HR","91000"
"55","Zaid","Development","780000"
